,,,,Overall,,,,,,,PP,,SH,,Defense,
Player_Name,Team,Pos,Games,G,A,Pts,plusminus,PIM,SOG,GWG,PPG,PPA,SHG,SHA,Hits,BS
Roman Josi,NSH,D,18,6,11,17,3,16,55,1,4,5,0,0,11,22
Nazem Kadri,COL,C,15,6,17,23,5,28,44,0,2,6,0,0,14,3
Jamie Benn,DAL,C,17,5,4,9,2,19,40,1,1,2,0,0,41,9
Evgenii Dadonov,VGK,RW,19,5,4,9,3,0,55,1,1,0,0,0,19,8
Tyler Seguin,DAL,C,17,5,4,9,-5,4,46,1,1,2,0,0,16,7
Milan Lucic,CGY,LW,20,5,2,7,0,16,28,0,0,1,0,0,51,6
Jeff Skinner,BUF,LW,18,5,5,10,-2,2,52,1,0,2,0,0,5,7
Charlie Coyle,BOS,C,15,5,4,9,-3,6,29,1,1,0,0,0,26,5
Sean Couturier,PHI,C,17,5,8,13,0,6,44,2,1,3,0,0,10,7
Rickard Rakell,ANH,C,9,5,0,5,-2,2,34,0,2,0,0,0,6,7
Dougie Hamilton,NJ,D,13,5,5,10,7,8,48,0,1,3,0,0,22,25
Jesper Fast,CAR,RW,17,5,2,7,7,0,23,0,0,0,0,0,31,10
Teddy Blueger,PIT,C,18,5,2,7,1,2,32,0,0,0,0,0,31,11
Chris Tierney,OTT,C,16,5,1,6,-7,4,23,1,3,1,0,0,11,11
Kirill Kaprizov,MIN,LW,18,5,13,18,0,8,59,1,1,3,0,0,22,4
Rasmus Asplund,BUF,C,18,5,6,11,0,4,30,1,2,1,1,0,5,3
Ondrej Kase,TOR,RW,20,5,2,7,0,6,54,0,0,0,0,0,12,11
Travis Konecny,PHI,C,17,5,4,9,-3,8,52,1,2,0,0,0,21,5
Conor Sheary,WAS,LW,18,5,4,9,2,2,26,2,1,1,0,0,9,10
Conor Garland,VAN,RW,19,5,9,14,0,10,46,2,1,1,0,0,12,3
Luke Glendening,DAL,C,17,5,3,8,1,4,23,0,0,0,0,0,28,14
Yanni Gourde,SEA,LW,14,5,5,10,0,9,33,0,0,1,0,0,20,4
Zach Sanford,OTT,LW,16,5,1,6,-3,11,25,0,1,1,0,0,32,14
J.T. Compher,COL,C,12,5,4,9,0,6,24,0,1,2,1,0,7,9
Bo Horvat,VAN,C,19,5,5,10,-3,10,49,0,1,1,0,0,17,10
Aaron Ekblad,FLA,D,18,5,10,15,17,4,54,0,1,3,0,0,20,16
David Pastrnak,BOS,RW,15,5,10,15,4,6,66,0,1,1,0,0,15,4
Andrew Copp,WPG,C,18,5,11,16,10,8,48,1,1,1,1,1,19,9
Garnet Hathaway,WAS,RW,19,5,1,6,4,8,34,2,0,0,0,1,72,8
Lawson Crouse,ARI,LW,19,5,5,10,-1,22,47,1,0,2,0,0,45,9
Tanner Jeannot,NSH,LW,18,5,4,9,1,24,31,1,0,0,0,0,51,8
Victor Olofsson,BUF,LW,10,5,6,11,2,4,24,0,1,2,0,0,0,5
Oliver Wahlstrom,NYI,RW,15,5,0,5,-2,8,39,1,2,0,0,0,26,4
Nils Hoglander,VAN,LW,19,5,4,9,5,8,49,0,0,1,0,0,7,5
Seth Jarvis,CAR,RW,10,4,2,6,4,0,20,2,0,1,0,0,5,5
Cole Sillinger,CLS,C,16,4,4,8,-3,15,41,1,0,1,0,0,10,7
Joel Farabee,PHI,LW,17,4,3,7,6,11,28,0,1,0,0,0,25,5
Dylan Cozens,BUF,C,18,4,6,10,-10,9,28,1,1,2,0,0,6,6
Alexis Lafreniere,NYR,LW,18,4,1,5,-1,8,27,2,0,0,0,0,29,7
Kailer Yamamoto,EDM,LW,18,4,1,5,2,4,23,2,0,0,1,0,21,6
Nick Suzuki,MON,C,20,4,10,14,-8,2,45,2,2,3,1,0,16,11
Martin Necas,CAR,C,15,4,6,10,6,6,28,3,0,1,0,0,8,5
Jesper Bratt,NJ,LW,16,4,8,12,5,8,41,1,0,2,0,0,9,5
Jason Robertson,DAL,LW,11,4,6,10,0,8,30,1,2,2,0,0,2,4
Zach Werenski,CLS,D,16,4,9,13,3,6,55,1,2,2,0,1,8,22
Mathew Barzal,NYI,C,15,4,4,8,-8,4,44,0,0,1,0,0,12,2
Jimmy Vesey,NJ,LW,16,4,2,6,1,2,29,1,0,0,1,0,25,11
Tony DeAngelo,CAR,D,17,4,12,16,12,23,39,1,0,6,0,0,8,11
Brendan Lemieux,LA,LW,12,4,1,5,5,18,16,0,0,0,0,0,33,6
Kasperi Kapanen,PIT,RW,18,4,7,11,4,6,42,0,0,3,0,0,19,6
Ivan Barbashev,STL,LW,18,4,6,10,1,12,29,0,0,1,1,0,30,8
