,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Tyler Toffoli,MON,RW,19,3,6,9,-8,2,49,0,2,0,0,0,31,5
Jaden Schwartz,SEA,LW,17,3,9,12,-9,6,42,0,0,1,0,0,24,6
Arthur Kaliyev,LA,RW,15,3,2,5,-3,2,31,0,2,1,0,0,6,1
Nico Sturm,MIN,C,16,3,3,6,1,4,30,0,0,0,0,0,9,3
Logan O'Connor,COL,C,14,3,3,6,-1,10,35,0,0,0,1,1,15,13
Kirby Dach,CHI,C,16,3,3,6,0,14,31,0,2,0,0,1,9,9
Dylan Cozens,BUF,C,16,3,5,8,-8,9,25,1,1,1,0,0,5,4
Bowen Byram,COL,D,11,3,5,8,5,2,18,1,0,0,0,0,13,12
Philip Tomasino,NSH,C,14,3,2,5,-3,8,19,1,2,1,0,0,4,8
Vasili Podkolzin,VAN,RW,16,3,1,4,0,4,19,1,0,1,0,0,23,9
Isac Lundestrom,ANH,LW,18,3,7,10,6,0,20,0,0,0,1,0,6,15
Brady Tkachuk,OTT,LW,12,3,4,7,1,31,36,1,0,0,0,0,56,4
Filip Zadina,DET,RW,19,3,4,7,-2,4,39,1,2,1,0,0,14,9
Jason Robertson,DAL,LW,9,3,6,9,0,4,24,0,1,2,0,0,1,4
Elias Pettersson,VAN,C,18,3,7,10,-2,6,49,0,2,4,1,0,5,9
Martin Necas,CAR,C,13,3,6,9,6,6,24,2,0,1,0,0,6,5
Kailer Yamamoto,EDM,LW,16,3,1,4,2,4,22,1,0,0,0,0,20,5
Nicolas Hague,VGK,D,17,3,5,8,2,10,33,0,0,0,0,0,15,25
Jake Evans,MON,LW,15,3,0,3,0,4,20,0,0,0,0,0,30,7
Miro Heiskanen,DAL,D,15,3,10,13,-6,6,43,1,2,4,0,0,11,18
Dominik Kubalik,CHI,LW,16,3,4,7,-8,6,38,0,2,1,0,0,30,11
Drew O'Connor,PIT,C,12,3,2,5,2,4,20,0,0,0,0,0,11,5
Anton Lundell,FLA,C,13,3,4,7,3,6,20,1,0,1,0,0,7,16
Seth Jarvis,CAR,RW,8,3,1,4,2,0,16,2,0,1,0,0,3,4
Moritz Seider,DET,D,19,2,11,13,0,14,32,1,0,6,0,0,24,27
Arttu Ruotsalainen,BUF,C,15,2,2,4,0,6,21,0,0,0,0,0,11,3
Alexander Barabanov,SJ,RW,11,2,5,7,-4,0,5,0,1,1,0,0,6,7
Jacob Peterson,DAL,LW,9,2,1,3,-3,2,12,0,0,0,0,0,7,1
Mason McTavish,ANH,C,9,2,1,3,3,2,12,1,0,1,0,0,8,6
Jasper Weatherby,SJ,C,16,2,2,4,-6,12,18,0,1,1,0,0,18,9
Alex Kerfoot,TOR,C,18,2,9,11,6,2,27,1,0,0,0,0,15,8
Mario Ferraro,SJ,D,16,2,5,7,-1,6,15,1,0,0,0,0,35,50
Zach Whitecloud,VGK,D,5,2,1,3,2,2,10,1,0,0,0,0,13,14
Rudolfs Balcers,SJ,LW,16,2,5,7,-3,4,31,1,0,0,0,1,29,9
Eric Robinson,CLS,LW,14,2,4,6,1,2,18,0,0,0,0,0,17,6
Carson Soucy,SEA,D,11,2,1,3,-5,6,19,0,0,1,0,0,29,10
Robert Thomas,STL,C,16,2,14,16,1,10,20,1,0,4,0,0,3,5
Klim Kostin,STL,RW,15,2,2,4,-2,10,19,1,0,0,0,0,44,3
Filip Chytil,NYR,C,14,2,1,3,0,2,26,0,0,0,0,0,6,5
Alex Formenton,OTT,LW,12,2,1,3,-4,9,19,1,0,0,0,0,22,2
Morgan Geekie,SEA,C,17,2,1,3,-10,2,28,0,0,1,0,0,13,8
Mackenzie Entwistle,CHI,RW,12,2,1,3,-4,0,7,0,0,0,1,0,30,5
Quinn Hughes,VAN,D,17,2,12,14,4,14,33,0,0,6,0,1,2,11
Rasmus Dahlin,BUF,D,16,2,6,8,0,12,29,0,1,2,0,0,22,12
Jesperi Kotkaniemi,CAR,LW,15,2,1,3,-1,4,17,1,0,1,0,0,16,5
Evan Bouchard,EDM,D,16,2,6,8,1,2,41,0,0,2,0,0,15,25
Joe Veleno,DET,C,7,2,1,3,0,4,12,0,0,0,0,0,15,0
Rasmus Kupari,LA,C,15,2,2,4,0,6,15,1,1,1,0,0,13,5
Barrett Hayton,ARI,C,11,2,1,3,-1,6,10,1,1,0,0,0,17,5
Martin Fehervary,WAS,D,17,2,3,5,4,0,20,0,0,0,1,0,48,27
Brandon Duhaime,MIN,LW,16,2,4,6,1,35,27,1,0,0,0,0,39,4
Connor McMichael,WAS,C,15,2,4,6,1,4,30,0,0,0,0,0,7,5
Kaapo Kakko,NYR,RW,13,2,2,4,3,0,17,0,0,0,0,0,3,4
Jack Hughes,NJ,C,2,2,1,3,2,0,4,1,0,0,0,0,0,0
Paul Cotter,VGK,C,4,2,0,2,2,4,5,0,0,0,0,0,9,0
Brett Leason,WAS,RW,10,2,1,3,0,0,14,0,0,0,0,0,6,5
Gustav Nyquist,CLS,RW,14,2,3,5,-5,2,17,0,0,0,0,0,3,8
Justin Faulk,STL,D,16,2,3,5,7,19,45,0,1,1,0,0,29,19
Ryan Strome,NYR,C,13,2,8,10,2,8,29,2,0,3,0,0,6,3
Mark Scheifele,WPG,C,11,2,5,7,2,2,24,1,0,1,0,0,1,10
Jonas Brodin,MIN,D,16,2,5,7,1,0,33,0,0,1,0,0,13,22
Adam Lowry,WPG,LW,17,2,2,4,2,12,15,0,0,0,0,1,48,9
Patrick Maroon,TB,LW,14,2,0,2,-2,35,22,0,1,0,0,0,24,1
Victor Rask,MIN,C,8,2,2,4,5,2,10,0,0,0,0,0,3,0
Alexander Wennberg,SEA,C,17,2,9,11,-5,4,28,0,0,3,0,0,7,5
Adam Erne,DET,RW,18,2,3,5,-5,7,24,0,0,0,0,0,50,13
Nikita Zadorov,CGY,D,12,2,2,4,4,8,20,0,0,0,0,0,19,12
Valeri Nichushkin,COL,LW,5,2,2,4,2,0,8,0,1,0,1,0,6,1
Sean Monahan,CGY,C,17,2,7,9,-4,0,23,2,2,5,0,0,9,8
Jonathan Drouin,MON,C,13,2,5,7,-5,8,23,0,0,2,0,0,9,5
Seth Jones,CHI,D,16,2,12,14,-5,8,51,0,0,6,0,1,14,30
Radek Faksa,DAL,C,15,2,4,6,-7,13,18,0,1,0,0,0,24,18
Andreas Athanasiou,LA,C,6,2,3,5,2,0,12,1,0,1,0,0,2,2
Tanner Pearson,VAN,LW,18,2,4,6,1,8,43,1,0,0,0,0,19,12
Colton Sissons,NSH,RW,16,2,4,6,0,4,19,0,0,0,0,0,24,10
Matt Dumba,MIN,D,16,2,7,9,-1,12,41,1,0,2,0,0,28,30
Derek Stepan,CAR,C,13,2,1,3,2,2,24,0,0,0,0,0,7,6
Victor Hedman,TB,D,15,2,13,15,5,14,38,0,1,5,0,0,28,23
Derek Forbort,BOS,D,13,2,1,3,1,0,14,0,0,0,0,0,16,9
Nick Bjugstad,MIN,C,15,2,0,2,-2,6,26,0,0,0,0,0,21,5
Oliver Ekman-Larsson,VAN,D,18,2,2,4,2,20,53,0,2,0,0,0,26,15
Ryan O'Reilly,STL,C,12,2,6,8,3,0,23,0,1,1,0,0,4,6
Cody Eakin,BUF,C,11,2,1,3,-3,8,19,0,1,0,0,0,4,6
Tyson Barrie,EDM,D,16,2,6,8,-2,4,36,0,1,2,0,0,7,14
Brayden McNabb,VGK,D,17,2,4,6,0,10,12,0,0,0,0,0,41,42
Dmitry Orlov,WAS,D,17,2,5,7,10,20,24,2,0,0,0,0,28,25
Alex Chiasson,VAN,RW,13,2,2,4,-1,16,15,0,2,2,0,0,19,3
Cal Clutterbuck,NYI,RW,13,2,0,2,-3,2,16,1,0,0,0,0,52,7
Darren Helm,COL,C,14,2,2,4,-1,6,26,0,0,0,1,1,17,8
Max Pacioretty,VGK,LW,2,2,1,3,3,0,13,0,0,0,0,0,2,4
Dustin Brown,LA,RW,16,2,5,7,0,2,52,0,0,0,0,0,36,2
Patric Hornqvist,FLA,RW,17,2,7,9,0,7,33,0,1,2,0,0,28,7
James van Riemsdyk,PHI,LW,15,2,4,6,1,6,38,1,1,0,0,0,5,5
Sam Gagner,DET,C,19,2,6,8,-5,8,30,0,0,1,0,0,5,9
Ryan Suter,DAL,D,15,2,6,8,-4,10,18,0,1,3,0,0,6,21
Brian Boyle,PIT,C,14,2,0,2,-1,9,21,0,0,0,0,0,16,9
Andrew Cogliano,SJ,LW,15,2,2,4,1,6,17,0,0,0,1,0,13,4
James Neal,STL,RW,15,2,2,4,-1,0,24,1,1,1,0,0,13,3
Erik Johnson,COL,D,14,2,3,5,7,4,27,1,0,0,0,1,30,27
Jordan Staal,CAR,C,15,2,4,6,5,8,31,0,1,0,0,0,39,10
Derick Brassard,PHI,C,15,2,7,9,8,6,18,0,0,1,0,0,22,2
Frederick Gaudreau,MIN,C,16,2,4,6,-1,2,26,0,0,1,0,0,7,12
Kevin Labanc,SJ,RW,11,2,2,4,-3,6,20,1,2,2,0,0,14,5
Chris Wideman,MON,D,14,2,4,6,-1,22,21,0,0,2,0,0,13,9
Brandon Montour,FLA,D,17,2,7,9,4,12,32,0,1,3,0,0,10,14
Christian Dvorak,MON,LW,19,2,5,7,-16,8,35,0,0,2,0,0,13,25
Warren Foegele,EDM,LW,16,2,4,6,-7,2,19,0,1,0,0,0,31,3
Viktor Arvidsson,LA,LW,9,2,3,5,0,6,36,0,1,0,0,0,2,5
Jansen Harkins,WPG,C,17,2,1,3,2,2,16,0,0,0,0,0,11,3
Shayne Gostisbehere,ARI,D,17,2,11,13,-1,6,30,0,0,5,0,0,2,19
Haydn Fleury,SEA,D,9,2,0,2,-2,2,13,1,0,0,0,0,17,14
